YahooSymbol,Code,Company,Sector,is_reit
ATH.AX,ATH,ALTERITY THERAPEUTICS LIMITED,"Pharmaceuticals, Biotechnology & Life Sciences",False
ATT.AX,ATT,ALTITUDE MINERALS LTD,Materials,False
ALV.AX,ALV,ALVO MINERALS LIMITED,Materials,False
AMA.AX,AMA,AMA GROUP LIMITED,Commercial & Professional Services,False
3DA.AX,3DA,AMAERO LTD,Capital Goods,False
AMO.AX,AMO,AMBERTECH LIMITED,Technology Hardware & Equipment,False
AMC.AX,AMC,AMCOR PLC,Materials,False
ARR.AX,ARR,AMERICAN RARE EARTHS LIMITED,Materials,False
AT4.AX,AT4,AMERICAN TUNGSTEN & ANTIMONY LTD,Materials,False
AMU.AX,AMU,AMERICAN URANIUM LTD,Materials,False
AW1.AX,AW1,AMERICAN WEST METALS LIMITED,Materials,False
AL3.AX,AL3,AML3D LIMITED,Capital Goods,False
AOV.AX,AOV,AMOTIV LIMITED,Automobiles & Components,False
AMP.AX,AMP,AMP LIMITED,Financial Services,False
ATX.AX,ATX,AMPLIA THERAPEUTICS LIMITED,"Pharmaceuticals, Biotechnology & Life Sciences",False
AEL.AX,AEL,AMPLITUDE ENERGY LIMITED,Energy,False
ALD.AX,ALD,AMPOL LIMITED,Energy,False
AN1.AX,AN1,ANAGENICS LIMITED,"Pharmaceuticals, Biotechnology & Life Sciences",False
ANR.AX,ANR,ANATARA LIFESCIENCES LTD,"Pharmaceuticals, Biotechnology & Life Sciences",False
ANX.AX,ANX,ANAX METALS LIMITED,Materials,False
ASL.AX,ASL,ANDEAN SILVER LIMITED,Materials,False
ADN.AX,ADN,ANDROMEDA METALS LIMITED,Materials,False
ATM.AX,ATM,ANEKA TAMBANG (PERSERO) TBK (PT),Materials,False
ANN.AX,ANN,ANSELL LIMITED,Health Care Equipment & Services,False
ASN.AX,ASN,ANSON RESOURCES LIMITED,Materials,False
AM5.AX,AM5,ANTARES METALS LIMITED,Materials,False
ADO.AX,ADO,ANTEOTECH LTD,"Pharmaceuticals, Biotechnology & Life Sciences",False
AVR.AX,AVR,ANTERIS TECHNOLOGIES GLOBAL CORP.,Health Care Equipment & Services,False
AAU.AX,AAU,ANTILLES GOLD LIMITED,Materials,False
AZY.AX,AZY,ANTIPA MINERALS LIMITED,Materials,False
ANZ.AX,ANZ,ANZ GROUP HOLDINGS LIMITED,Banks,False
APA.AX,APA,APA GROUP,Utilities,False
APC.AX,APC,APC MINERALS LIMITED,Materials,False
AHX.AX,AHX,APIAM ANIMAL HEALTH LIMITED,Health Care Equipment & Services,False
AON.AX,AON,APOLLO MINERALS LIMITED,Materials,False
APX.AX,APX,APPEN LIMITED,Software & Services,False
AQN.AX,AQN,AQUIRIAN LIMITED,Commercial & Professional Services,False
ARU.AX,ARU,ARAFURA RARE EARTHS LTD,Materials,False
ARB.AX,ARB,ARB CORPORATION LIMITED.,Automobiles & Components,False
ARC.AX,ARC,ARC FUNDS LIMITED,Financial Services,False
AM7.AX,AM7,ARCADIA MINERALS LIMITED,Materials,False
AXE.AX,AXE,ARCHER MATERIALS LIMITED,Semiconductors & Semiconductor Equipment,False
AR9.AX,AR9,ARCHTIS LIMITED,Software & Services,False
ARL.AX,ARL,ARDEA RESOURCES LIMITED,Materials,False
ADV.AX,ADV,ARDIDEN LTD,Materials,False
AGN.AX,AGN,ARGENICA THERAPEUTICS LIMITED,"Pharmaceuticals, Biotechnology & Life Sciences",False
RGT.AX,RGT,ARGENT BIOPHARMA LIMITED,"Pharmaceuticals, Biotechnology & Life Sciences",False
ARD.AX,ARD,ARGENT MINERALS LIMITED,Materials,False
AGY.AX,AGY,ARGOSY MINERALS LIMITED,Materials,False
ARA.AX,ARA,ARIADNE AUSTRALIA LIMITED,Commercial & Professional Services,False
AA2.AX,AA2,ARIANA RESOURCES PLC,Materials,False
ARI.AX,ARI,ARIKA RESOURCES LIMITED,Materials,False
ALL.AX,ALL,ARISTOCRAT LEISURE LIMITED,Consumer Services,False
